plan.md	shell-architecture-audit.md	crystalgui	gui
plan_engine_core_audit.md	engine-audit.md	crystalgui	gui
plan_ui_network_audit.md	net-audit.md	crystalgui	gui
plan_ui_rewrite.md	engine-rewrite.md	crystalgui	gui
plan_m5.md	engine-core.md	crystalgui/engine-rewrite	gui
plan_m6.md	engine-port.md	crystalgui/engine-rewrite	gui
plan_fs_rewrite.md	fs-rewrite.md	crystalgui	gui
plan_phase5.md	fs-remote-workspace.md	crystalgui/fs-rewrite	gui
plan_phase6.md	fs-remote-file.md	crystalgui/fs-rewrite	gui
plan_prephase4.md	fs-backlog.md	crystalgui/fs-rewrite	gui
plan_wire.md	net-wire.md	crystalgui	gui
plan_ui_host.md	net-window-host.md	crystalgui	gui
plan_syntax.md	lang-stack.md	crystalgui	gui
plan_m9_5.md	lang-run-panel.md	crystalgui/lang-stack	gui
plan_m10.md	lang-javascript.md	crystalgui/lang-stack	gui
plan_m11.md	lang-resolver.md	crystalgui/lang-stack	gui
plan_m13.md	lang-production-names.md	crystalgui/lang-stack	gui
plan_m12.md	platform-mc1710.md	crystalgui/lang-stack	gui
plan_quickfix.md	lang-quickfix.md	crystalgui	gui
plan_quickfix_catalog.md	lang-quickfix-catalog.md	crystalgui/lang-quickfix	gui
plan_texteditor_review.md	editor-audit.md	crystalgui	gui
plan_cleanup.md	lang-cleanup.md	crystalgui/editor-audit	gui
plan_goto.md	editor-search-everywhere.md	crystalgui	gui
plan_navigation.md	editor-classpath-navigation.md	crystalgui	gui
plan_viewer.md	editor-library-viewer.md	crystalgui	gui
plan_javadoc.md	editor-javadoc.md	crystalgui	gui
plan_diff_merge_port.md	editor-diff-merge.md	crystalgui	gui
plan_windowing.md	shell-windowing.md	crystalgui	gui
plan_m16.md	shell-pinned-windows.md	crystalgui/shell-windowing	gui
plan_glass.md	style-glass.md	crystalgui/shell-windowing	gui
plan_workbench_rewrite.md	shell-workbench-rewrite.md	crystalgui	gui
plan_ui_builder.md	shell-ui-builder.md	crystalgui	gui
plan_styling.md	style-overhaul.md	crystalgui	gui
plan_mc1201.md	platform-mc1201.md	crystalgui	gui
plan_plans.md	meta-plans-repo.md	crystalgui	gui
plan_cgdevice.md	device-seam.md	crystalgraphics	cg
plan_cgdevice_milestones.md	device-milestones.md	crystalgraphics/device-seam	cg
plan_cgvulkan.md	device-vulkan.md	crystalgraphics/device-seam	cg
docs_research/CGGLSTATEMANAGER_PLAN.md	gl-state-manager.md	crystalgraphics	cg
docs_research/GL_STATE_SYNC_STALL_FINDINGS.md	gl-state-sync-findings.md	crystalgraphics/gl-state-manager	cg
docs_research/TEXT STACK OVERHAUL.md	text-stack-overhaul.md	crystalgraphics	cg
docs_research/CGTEXTRENDERER_INSTANCING_FOUNDATIONS.md	text-instancing.md	crystalgraphics	cg
docs_research/CGTEXTRENDERER_MATERIAL_OVERHAUL_PLAN.md	text-material.md	crystalgraphics	cg
docs_research/CGTEXT_INLINE_RICHTEXT_FOUNDATIONS.md	text-rich-spans.md	crystalgraphics	cg
plan_harness_lwjgl3.md	harness-lwjgl3.md	crystalgraphics	cg
plan_mc26_diagnosis.md	platform-mc26-diagnosis.md	crystalgraphics	cg
